1003,309
1062,240
208,191
192,702
556,536
436,133
276,18
1000,392
401,491
445,570
409,407
175,336
682,352
725,434
298,416
922,522
34,299
884,726
302,639
701,417
323,144
1072,657
647,482
380,691
920,773
1038,588
457,341
813,781
438,696
630,63
75,153
851,135
967,116
1098,721
1007,484
495,437
762,489
66,458
1126,226
450,327
1035,192
1091,749
67,66
168,454
260,421
54,148
448,497
64,64
482,754
123,627
413,434
1005,335
703,472
134,659
128,334
110,38
337,440
991,41
113,674
163,506
700,181
38,569
762,764
392,54
632,687
848,650
759,95
496,707
76,431
347,602
344,695
1034,307
435,161
276,118
424,75
327,33
712,360
862,111
1125,441
847,760
586,170
794,573
171,379
584,421
635,745
1149,722
300,699
1068,577
184,732
126,781
579,494
438,543
1137,604
386,708
766,298
644,225
158,158
902,668
790,290
472,122
270,147
